Symbol,Name,Sector,Industry
001510,SK증권,FINANCIAL,"증권업,부동산 임대"
285130,SK케미칼,MATERIALS,"PETG 수지, PET 수지, 바이오디젤, 백신"
017670,SK텔레콤,COMMUNICATION,"이동전화,무선호출서비스,부가통신"
000660,SK하이닉스,IT,"반도체,컴퓨터,통신기기 제조,도매"
048550,SM C&C,COMMUNICATION,"영상콘텐츠 제작 및 매니지먼트, 여행"
063440,SM Life Design,IT,"추첨식복권 제조, 일반출판 인쇄, CD ·DVD 복제"
950180,SNK,IT,"IP 라이센스, 콘솔, 모바일 게임"
005610,SPC삼립,CS,"빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매"
011810,STX,OTHER,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매"
077970,STX엔진,INDUSTRIAL,"엔진,터빈,내연기관 제조,도매"
071970,STX중공업,INDUSTRIAL,"조선기자재, 기계부품, 엔진산업환경발전설비, 플랜트(EPC)"
289080,SV인베스트먼트,FINANCIAL,중소/벤처기업 투자 및 육성
084870,TBH글로벌,OTHER,"캐주얼의류,여성의류,남성의류 제조,도소매"
002710,TCC스틸,MATERIALS,"석도강판,표면처리강판 제조,판매"
089230,THE E&M,COMMUNICATION,인터넷 개인방송 플랫폼
161570,THE MIDONG,IT,"차량용 블랙박스, 차량운행보조시스템"
032540,TJ미디어,IT,영상음향반주기
048770,TPC,INDUSTRIAL,"구동기기(실린더), 방향제어기(밸브)"
246690,TS인베스트먼트,FINANCIAL,투자조합 결성 및 투자
317240,TS트릴리온,MATERIALS,기업인수합병
038340,UCI,OTHER,캐패시터
073570,WI,INDUSTRIAL,Wafer Burn In Test 장비
024070,WISCOM,MATERIALS,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공"
052300,W홀딩컴퍼니,OTHER,운송
057030,YBM넷,OTHER,"온라인교육, 수수료수입 등"
037270,YG PLUS,IT,"광고대행,광고물 제작"
040300,YTN,CD,광고/협찬 및 프로그램 제작
051390,YW,OTHER,"이동통신중계시스템, 데이터네트웍장비, 광전송 장비"
052220,iMBC,IT,"디지털콘텐츠,웹에이젼시"
079940,가비아,IT,"도메인,호스팅"
078890,가온미디어,COMMUNICATION,디지털셋톱박스
