Symbol,Name,Industry,Sector
CROX,Crocs Inc,제화,CD
OLED,Universal Display Corp,반도체,IT
WFRD,Weatherford International PLC,오일 관련 서비스 및 장비,ENERGY
AFRM,Affirm Holdings Inc,핀테크,FINANCIAL
MIDD,Middleby Corp,산업용 기계 및 장비,INDUSTRIAL
Z,Zillow Group Inc Class C,부동산 서비스,REAL_ESTATE
ALTR,Altair Engineering Inc,IT 서비스 및 컨설팅,IT
UFPI,Ufp Industries Inc,임업 및 목재 제품,MATERIALS
IEP,Icahn Enterprises Units,"오일, 가스 정제 및 마케팅",ENERGY
ASND,Ascendis Pharma A/S ADR,생명 공학 및 의학 연구,HEALTH
DBX,Dropbox Inc,소프트웨어,IT
HLNE,Hamilton Lane Inc,투자 관리 및 펀드 운영,FINANCIAL
AMKR,Amkor Technology Inc,반도체 장비 및 테스트,IT
SPSC,SPS Commerce Inc,소프트웨어,IT
RVMD,Revolution Medicines Inc,생명 공학 및 의학 연구,HEALTH
AAON,Aaon Inc,전기 부품 및 장비,INDUSTRIAL
DUOL,Duolingo Inc,온라인 서비스,IT
MKSI,MKS Instruments Inc,산업용 기계 및 장비,INDUSTRIAL
DRS,Leonardo DRS Inc,항공우주 및 방위,INDUSTRIAL
JAZZ,Jazz Pharmaceuticals PLC,제약,HEALTH
MTSI,MACOM Technology Solutions Holdings Inc,반도체,IT
IONS,Ionis Pharmaceuticals Inc,생명 공학 및 의학 연구,HEALTH
FYBR,Frontier Communications Parent Inc,통합 통신 서비스,COMMUNICATION
LCID,Lucid Group Inc,자동차 및 트럭 제조,INDUSTRIAL
SOFI,SoFi Technologies Inc,소비자 대출,FINANCIAL
EXEL,Exelixis Inc,생명 공학 및 의학 연구,HEALTH
GTLB,GitLab Inc,소프트웨어,IT
HALO,Halozyme Therapeutics Inc,생명 공학 및 의학 연구,HEALTH
BPOP,Popular Inc,은행,FINANCIAL
HCP,HashiCorp Inc,소프트웨어,IT
ZION,Zions Bancorporation NA,은행,FINANCIAL
LNTH,Lantheus Holdings Inc,"의료 장비, 물품 및 유통",HEALTH
LSTR,Landstar System Inc,지상 화물 및 물류,INDUSTRIAL
CRUS,Cirrus Logic Inc,반도체,IT
GNTX,Gentex Corp,"자동차, 트럭 및 오토바이 부품",INDUSTRIAL
SMMT,Summit Therapeutics Inc,생명 공학 및 의학 연구,HEALTH
PNFP,Pinnacle Financial Partners Inc,은행,FINANCIAL
ACHC,Acadia Healthcare Company Inc,의료 시설 및 서비스,HEALTH
PARA,Paramount Global Class B,방송,COMMUNICATION
MASI,Masimo Corp,"의료 장비, 물품 및 유통",HEALTH
CIGI,Colliers International Group Inc,부동산 서비스,REAL_ESTATE
WTFC,Wintrust Financial Corp,은행,FINANCIAL
REYN,Reynolds Consumer Products Inc,가정용 제품,CD
CGNX,Cognex Corp,산업용 기계 및 장비,INDUSTRIAL
CCCS,CCC Intelligent Solutions Holdings Inc,소프트웨어,IT
WSC,Willscot Holdings Corp,경영 지원 서비스,CS
